0,1,2
6.121428362782504,-0.7613791395565552,1.5370227053656231
4.893603439430523,-0.28359815722432313,-0.3535597720479928
4.893603439430523,-0.28359815722432313,-0.3535597720479928
-1.2520454655652655,-4.750810077221817,-6.499173344581196
-1.2520454655652655,-4.750810077221817,-6.499173344581196
3.4284447141932044,-1.0501206288787746,-2.3466161587171777
1.507215592335121,-2.434971114859144,-4.378799787026686
-1.3440886283184184,-4.252060073507358,-7.07535861555002
-1.3610389195948467,4.420811753906607,2.253451211514194
-0.8662636875401599,4.238626580345673,1.9721208501903043
-0.6139697728406394,4.118904553110219,1.8376478164436434
-2.346304045955347,4.031390303362204,2.2290649308592063
-2.346304045955347,4.031390303362204,2.2290649308592063
-2.1258450337710535,4.015551014250933,2.235535411872297
3.147409759594683,4.156768790953219,1.2342858447253084
2.594772706948001,4.174598091134999,0.4588030868365056
2.594772706948001,4.174598091134999,0.4588030868365056
0.4963490294932269,3.7732444958205105,3.017131363877058
1.8141274420136282,3.957206633189317,-0.6399503701763098
0.4559706004368107,3.72417516803121,2.895054609167705
0.5171022852476097,3.7232017608263916,2.933635610625463
-2.648860118035886,3.6149315481274478,2.1235742333812455
-2.648860118035886,3.6149315481274478,2.1235742333812455
2.961616325232841,3.8592181200337823,-0.5612485926053301
1.413582963718374,3.8491423669231377,-1.2937425934467033
3.400199834248781,3.780962484148922,0.015132718689315539
2.318000598240612,3.6805686445786474,0.8433725047165117
0.5785395188322788,3.529413814894921,2.0656623470019997
0.8730651412312272,3.4240571635777153,2.065045480217233
1.8327220324667697,3.380917506042366,0.2134793099784993
2.3833623376675526,3.3545945730241993,0.6413195413184518
-0.24687910014867442,3.250237352986848,0.4095782216736712
0.5851738608314779,2.9819465983146056,0.9018005540192275
0.6560668978779465,2.9953794555231217,-2.3587560271181487
0.32544758450043065,2.9833185698938602,-3.312629980510734
2.056195861745888,2.868545485750219,-5.688066831146248
2.056195861745888,2.868545485750219,-5.688066831146248
-0.2943934260914983,2.5419059786301488,-0.2593942544268226
-0.2943934260914983,2.5419059786301488,-0.2593942544268226
-0.14586880379469624,2.488189744699994,-0.2698940118484199
0.057627670045655166,2.469808897751049,-0.12227130619029247
-2.9780866476088548,2.175355420321898,0.9699285475050132
-1.6874748130617805,-5.11124181570578,-5.28072067706932
-1.6874748130617805,-5.11124181570578,-5.28072067706932
-3.54693552123213,-5.305711268570863,-6.946381932917059
-3.54693552123213,-5.305711268570863,-6.946381932917059
-1.5261599298868744,-5.0146277800512085,-4.878822503579171
-1.4246461823453362,-4.878190544556587,-4.788762752690744
-1.4620306044210203,-4.685056575332497,-5.3960300391532465
-1.4576568643285075,-4.44719519594106,-5.309743953101603
-1.8961021907256215,-4.368030063967423,-5.482884076204476
-1.0354422564969985,-4.29648734347602,-5.929205532039786
-1.0427589521195557,-4.208087252281112,-4.7059333433610675
-2.339652069146852,-4.311599437390164,-6.092607159801481
-1.0492608960793879,-4.188595549031092,-5.109519288065914
-2.322590393463336,-4.2282685972782605,-5.758662369645517
-1.4127061635919778,-4.091919819985095,-5.417395519053848
-1.1123323077255756,-4.018430718864214,-4.631183366733385
-0.2456331100971907,-4.040832086691413,-6.026619179562908
-0.2456331100971907,-4.040832086691413,-6.026619179562908
-1.7643553610279468,-4.059296899460209,-5.367365527733633
-1.7643553610279468,-4.059296899460209,-5.367365527733633
-0.8203432407339997,-3.983662482686953,-5.761052668191256
-0.1637677587628743,-3.910958535130197,-6.008462630919222
2.229074116078738,-3.423614746460268,-1.9106244684426148
-0.3137933095251628,-3.5808535691643613,-6.041384606890348
-0.3137933095251628,-3.5808535691643613,-6.041384606890348
-0.3137933095251628,-3.5808535691643613,-6.041384606890348
-0.6633008311504871,-3.589884470038988,-6.906419817740119
1.023537672291825,-3.1413197316198027,-3.1334344761891244
-0.5836150209088062,-3.3284198905124143,-6.833703329093213
-0.7427089765265678,-3.233377032076811,-5.069275951875943
